,Persons,Safety,Buying,Maint,Lugboot,Doors,L0,L1,L2
25,more,med,high,high,med,4,1,1,1.0
51,4,med,high,high,med,4,1,1,1.0
49,4,med,high,low,med,4,2,2,1.4142135623730951
48,4,med,low,high,med,4,2,2,1.4142135623730951
18,more,med,med,high,med,4,2,2,1.4142135623730951
38,4,high,high,high,med,4,2,2,1.4142135623730951
23,more,med,high,low,med,4,2,2,1.4142135623730951
24,more,med,high,med,med,4,2,2,1.4142135623730951
50,4,med,high,med,med,4,2,2,1.4142135623730951
44,4,med,med,high,med,4,2,2,1.4142135623730951
22,more,med,low,high,med,4,2,2,1.4142135623730951
12,more,high,high,high,med,4,2,2,1.4142135623730951
19,more,med,low,vhigh,med,4,3,3,1.7320508075688772
42,4,med,med,low,med,4,3,3,1.7320508075688772
41,4,med,med,vhigh,med,4,3,3,1.7320508075688772
40,4,med,vhigh,med,med,4,3,3,1.7320508075688772
31,4,high,med,high,med,4,3,3,1.7320508075688772
39,4,med,vhigh,low,med,4,3,3,1.7320508075688772
37,4,high,high,med,med,4,3,3,1.7320508075688772
43,4,med,med,med,med,4,3,3,1.7320508075688772
