,Marital_Status,Capital_gain,Education_num,Relationship,Sex,O_Marital_Status,O_Capital_gain,O_Education_num,O_Relationship,O_Sex,CF_id
0,Married-civ-spouse,5060,9,Husband,Male,1,1,0,1,0,1
1,Married-civ-spouse,5178,9,Husband,Male,1,1,0,1,0,1
2,Married-civ-spouse,5455,9,Husband,Male,1,1,0,1,0,1
3,Married-civ-spouse,5556,9,Husband,Male,1,1,0,1,0,1
4,Married-civ-spouse,5721,9,Husband,Male,1,1,0,1,0,1
5,Married-civ-spouse,6097,9,Husband,Male,1,1,0,1,0,1
6,Married-civ-spouse,6360,9,Husband,Male,1,1,0,1,0,1
7,Married-civ-spouse,6418,9,Husband,Male,1,1,0,1,0,1
8,Married-civ-spouse,6497,9,Husband,Male,1,1,0,1,0,1
9,Married-civ-spouse,6514,9,Husband,Male,1,1,0,1,0,1
10,Married-civ-spouse,6723,9,Husband,Male,1,1,0,1,0,1
11,Married-civ-spouse,6767,9,Husband,Male,1,1,0,1,0,1
12,Married-civ-spouse,6849,9,Husband,Male,1,1,0,1,0,1
13,Married-civ-spouse,7298,9,Husband,Male,1,1,0,1,0,1
14,Married-civ-spouse,7430,9,Husband,Male,1,1,0,1,0,1
15,Married-civ-spouse,7443,9,Husband,Male,1,1,0,1,0,1
16,Married-civ-spouse,7688,9,Husband,Male,1,1,0,1,0,1
17,Married-civ-spouse,7896,9,Husband,Male,1,1,0,1,0,1
18,Married-civ-spouse,7978,9,Husband,Male,1,1,0,1,0,1
19,Married-civ-spouse,8614,9,Husband,Male,1,1,0,1,0,1
20,Married-civ-spouse,5060,10,Husband,Male,1,1,1,1,0,2
21,Married-civ-spouse,5060,11,Husband,Male,1,1,1,1,0,2
22,Married-civ-spouse,5060,12,Husband,Male,1,1,1,1,0,2
23,Married-civ-spouse,5060,13,Husband,Male,1,1,1,1,0,2
24,Married-civ-spouse,5060,14,Husband,Male,1,1,1,1,0,2
25,Married-civ-spouse,5060,15,Husband,Male,1,1,1,1,0,2
26,Married-civ-spouse,5060,16,Husband,Male,1,1,1,1,0,2
27,Married-civ-spouse,5178,10,Husband,Male,1,1,1,1,0,2
28,Married-civ-spouse,5178,11,Husband,Male,1,1,1,1,0,2
29,Married-civ-spouse,5178,12,Husband,Male,1,1,1,1,0,2
30,Married-civ-spouse,5178,13,Husband,Male,1,1,1,1,0,2
31,Married-civ-spouse,5178,14,Husband,Male,1,1,1,1,0,2
32,Married-civ-spouse,5178,15,Husband,Male,1,1,1,1,0,2
33,Married-civ-spouse,5178,16,Husband,Male,1,1,1,1,0,2
34,Married-civ-spouse,5455,10,Husband,Male,1,1,1,1,0,2
35,Married-civ-spouse,5455,11,Husband,Male,1,1,1,1,0,2
36,Married-civ-spouse,5455,12,Husband,Male,1,1,1,1,0,2
37,Married-civ-spouse,5455,13,Husband,Male,1,1,1,1,0,2
38,Married-civ-spouse,5455,14,Husband,Male,1,1,1,1,0,2
39,Married-civ-spouse,5455,15,Husband,Male,1,1,1,1,0,2
40,Married-civ-spouse,5455,16,Husband,Male,1,1,1,1,0,2
41,Married-civ-spouse,5556,10,Husband,Male,1,1,1,1,0,2
42,Married-civ-spouse,5556,11,Husband,Male,1,1,1,1,0,2
43,Married-civ-spouse,5556,12,Husband,Male,1,1,1,1,0,2
44,Married-civ-spouse,5556,13,Husband,Male,1,1,1,1,0,2
45,Married-civ-spouse,5556,14,Husband,Male,1,1,1,1,0,2
46,Married-civ-spouse,5556,15,Husband,Male,1,1,1,1,0,2
47,Married-civ-spouse,5556,16,Husband,Male,1,1,1,1,0,2
48,Married-civ-spouse,5721,10,Husband,Male,1,1,1,1,0,2
49,Married-civ-spouse,5721,11,Husband,Male,1,1,1,1,0,2
50,Married-civ-spouse,5721,12,Husband,Male,1,1,1,1,0,2
51,Married-civ-spouse,5721,13,Husband,Male,1,1,1,1,0,2
52,Married-civ-spouse,5721,14,Husband,Male,1,1,1,1,0,2
53,Married-civ-spouse,5721,15,Husband,Male,1,1,1,1,0,2
54,Married-civ-spouse,5721,16,Husband,Male,1,1,1,1,0,2
55,Married-civ-spouse,6097,10,Husband,Male,1,1,1,1,0,2
56,Married-civ-spouse,6097,11,Husband,Male,1,1,1,1,0,2
57,Married-civ-spouse,6097,12,Husband,Male,1,1,1,1,0,2
58,Married-civ-spouse,6097,13,Husband,Male,1,1,1,1,0,2
59,Married-civ-spouse,6097,14,Husband,Male,1,1,1,1,0,2
60,Married-civ-spouse,6097,15,Husband,Male,1,1,1,1,0,2
61,Married-civ-spouse,6097,16,Husband,Male,1,1,1,1,0,2
62,Married-civ-spouse,6360,10,Husband,Male,1,1,1,1,0,2
63,Married-civ-spouse,6360,11,Husband,Male,1,1,1,1,0,2
64,Married-civ-spouse,6360,12,Husband,Male,1,1,1,1,0,2
65,Married-civ-spouse,6360,13,Husband,Male,1,1,1,1,0,2
66,Married-civ-spouse,6360,14,Husband,Male,1,1,1,1,0,2
67,Married-civ-spouse,6360,15,Husband,Male,1,1,1,1,0,2
68,Married-civ-spouse,6360,16,Husband,Male,1,1,1,1,0,2
69,Married-civ-spouse,6418,10,Husband,Male,1,1,1,1,0,2
70,Married-civ-spouse,6418,11,Husband,Male,1,1,1,1,0,2
71,Married-civ-spouse,6418,12,Husband,Male,1,1,1,1,0,2
72,Married-civ-spouse,6418,13,Husband,Male,1,1,1,1,0,2
