,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
0,Married-civ-spouse,5060,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.7013916150926691,0.7013916150926691
14112,Married-AF-spouse,7298,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859080296,1.011611859080296
14113,Married-AF-spouse,7430,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909031647931,1.029909031647931
14114,Married-AF-spouse,7443,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0317110259159556,1.0317110259159556
14115,Married-AF-spouse,7688,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0656716871210354,1.0656716871210354
14116,Married-AF-spouse,7896,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0945035954094298,1.0945035954094298
14117,Married-AF-spouse,7978,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1058700207923544,1.1058700207923544
14118,Married-AF-spouse,8614,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1940291249818678,1.1940291249818678
14119,Married-AF-spouse,9386,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.3010398615137928,1.3010398615137928
2561,Married-civ-spouse,0,14,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.9421202892158205,1.9421202892158205
14120,Married-AF-spouse,9562,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.3254360916039727,1.3254360916039727
14122,Married-AF-spouse,10566,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4646054950729528,1.4646054950729528
14123,Married-AF-spouse,10605,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4700114778770268,1.4700114778770268
14124,Married-AF-spouse,11678,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.618745312460907,1.618745312460907
14125,Married-AF-spouse,13550,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.8782324870564555,1.8782324870564555
14126,Married-AF-spouse,14084,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.9522528669891601,1.9522528669891601
14127,Married-AF-spouse,14344,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.9882927523496532,1.9882927523496532
14128,Married-AF-spouse,15020,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,2.0819964542869345,2.0819964542869345
14129,Married-AF-spouse,15024,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,2.082550914061711,2.082550914061711
14121,Married-AF-spouse,10520,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4582292076630194,1.4582292076630194
