,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
8992,Divorced,7298,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859080296,1.011611859080296
8993,Divorced,7430,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909031647931,1.029909031647931
8994,Divorced,7443,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0317110259159556,1.0317110259159556
8995,Divorced,7688,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0656716871210354,1.0656716871210354
8996,Divorced,7896,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0945035954094298,1.0945035954094298
8997,Divorced,7978,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1058700207923544,1.1058700207923544
8998,Divorced,8614,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1940291249818678,1.1940291249818678
8999,Divorced,9386,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.3010398615137928,1.3010398615137928
9000,Divorced,9562,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.3254360916039727,1.3254360916039727
9152,Divorced,7298,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4000359169234602,1.0836197682504884
9012,Divorced,7298,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4000359169234602,1.0836197682504884
9160,Divorced,7430,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089491095,1.1007206104099843
9019,Divorced,7430,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089491095,1.1007206104099843
9168,Divorced,7443,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4201350837591198,1.1024068621465957
9026,Divorced,7443,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4201350837591198,1.1024068621465957
9033,Divorced,7688,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4540957449641996,1.1342527908022726
9176,Divorced,7688,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.4540957449641996,1.1342527908022726
9001,Divorced,10520,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4582292076630194,1.4582292076630194
9002,Divorced,10566,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4646054950729528,1.4646054950729528
9003,Divorced,10605,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4700114778770268,1.4700114778770268
