,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
8992,Divorced,7298,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859,1.011611859
8993,Divorced,7430,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909032,1.029909032
8994,Divorced,7443,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.031711026,1.031711026
8995,Divorced,7688,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.065671687,1.065671687
8996,Divorced,7896,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.094503595,1.094503595
8997,Divorced,7978,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.105870021,1.105870021
8998,Divorced,8614,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.194029125,1.194029125
8999,Divorced,9386,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.301039862,1.301039862
9000,Divorced,9562,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.325436092,1.325436092
9152,Divorced,7298,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.400035917,1.083619768
9012,Divorced,7298,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.400035917,1.083619768
9160,Divorced,7430,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089,1.10072061
9019,Divorced,7430,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.418333089,1.10072061
9168,Divorced,7443,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.420135084,1.102406862
9026,Divorced,7443,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.420135084,1.102406862
9033,Divorced,7688,10,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.454095745,1.134252791
9176,Divorced,7688,8,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,2,1.454095745,1.134252791
9001,Divorced,10520,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.458229208,1.458229208
9002,Divorced,10566,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.464605495,1.464605495
9003,Divorced,10605,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.470011478,1.470011478
,,,,,,,,,,,,,,1.296891407,
