,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
0,Married-civ-spouse,5060,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.701391615,0.701391615
1,Married-civ-spouse,5178,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.717748178,0.717748178
2,Married-civ-spouse,5455,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.756144518,0.756144518
3,Married-civ-spouse,5556,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.770144627,0.770144627
4,Married-civ-spouse,5721,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.793016093,0.793016093
5,Married-civ-spouse,6097,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.845135312,0.845135312
6,Married-civ-spouse,6360,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.881591042,0.881591042
7,Married-civ-spouse,6418,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.889630709,0.889630709
8,Married-civ-spouse,6497,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.900581289,0.900581289
9,Married-civ-spouse,6514,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.902937743,0.902937743
10,Married-civ-spouse,6723,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.931908266,0.931908266
11,Married-civ-spouse,6767,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.938007324,0.938007324
12,Married-civ-spouse,6849,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,0.949373749,0.949373749
8992,Divorced,7298,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859,1.011611859
14112,Married-AF-spouse,7298,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859,1.011611859
13,Married-civ-spouse,7298,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859,1.011611859
14,Married-civ-spouse,7430,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909032,1.029909032
14113,Married-AF-spouse,7430,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909032,1.029909032
8993,Divorced,7430,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909032,1.029909032
14114,Married-AF-spouse,7443,9,Husband,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.031711026,1.031711026
,,,,,,,,,,,,,,0.906694208,
