,Marital_Status,Capital_gain,Education_num,Relationship,Sex,Occupation,Native_country,Fnlwgt,Age,Race,Hours_per_week,Workclass,L0,L1,L2
9009,Divorced,15024,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,2.082550914061711,2.082550914061711
8994,Divorced,7443,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0317110259159556,1.0317110259159556
8995,Divorced,7688,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0656716871210354,1.0656716871210354
8996,Divorced,7896,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.0945035954094298,1.0945035954094298
8997,Divorced,7978,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1058700207923544,1.1058700207923544
8998,Divorced,8614,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.1940291249818678,1.1940291249818678
8999,Divorced,9386,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.3010398615137928,1.3010398615137928
9000,Divorced,9562,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.3254360916039727,1.3254360916039727
8993,Divorced,7430,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.029909031647931,1.029909031647931
9001,Divorced,10520,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4582292076630194,1.4582292076630194
9004,Divorced,11678,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.618745312460907,1.618745312460907
9005,Divorced,13550,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.8782324870564555,1.8782324870564555
9006,Divorced,14084,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.9522528669891601,1.9522528669891601
9007,Divorced,14344,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.9882927523496532,1.9882927523496532
9008,Divorced,15020,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,2.0819964542869345,2.0819964542869345
9010,Divorced,15831,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,2.1944131736229333,2.1944131736229333
9011,Divorced,20051,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,2.7793682360124716,2.7793682360124716
9002,Divorced,10566,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4646054950729528,1.4646054950729528
8992,Divorced,7298,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.011611859080296,1.011611859080296
9003,Divorced,10605,9,Not-in-family,Male,Adm-clerical,United-States,77516,39,White,40,State-gov,1,1.4700114778770268,1.4700114778770268
