,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,Age_years,Other_debtors,Unnamed: 0,Other_installment_plans,Telephone,Foreign_worker,Installment_rate,Savings_account_or_bonds,Number_existing_credits,Housing,Purpose,Present_residence_since,Personal_status,Number_people_liable,L0,L1,L2
42094,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,40,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.838146685530024,2.319220394340523
5303,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,426,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0283714973472815,1.7485845523040313
5302,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,428,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.027674768690542,1.7481748854743222
24051,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,250,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0896836191403443,1.7853320110900377
24050,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,338,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.059027558243813,1.7667878676060271
24049,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,339,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0586791939154434,1.7665790770948955
24048,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,343,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0572857366019646,1.7657443554552168
24047,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,362,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0506668143629403,1.7617890778420582
24046,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0485766283927225,1.760543366580741
24045,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,385,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.042654434810438,1.7570225583155936
5304,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,409,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.034293690929566,1.752074039273656
24044,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,409,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.034293690929566,1.752074039273656
42085,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.334208488278186,1.4531673384841783
42086,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,24,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.5013127324172792,1.500438087920884
42087,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,26,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.6684169765563723,1.5642190558066866
42088,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,27,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.751969098625919,1.6017045686668552
42089,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,28,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,2.8355212206954654,1.6425881133846187
42090,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,30,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.0026254648345585,1.7335679458085034
42091,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,33,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.253281831043198,1.889633654448129
42092,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,36,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,3,3.5039381972518377,2.0644200399030006
