,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,O_Checking_account_status,O_Credit_history,O_Property,O_Duration_months,O_Credit_amount,O_Present_employment_since,O_Job,CF_id
0,less_than0,critical_account,real_estate,22,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
1,less_than0,critical_account,real_estate,24,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
2,less_than0,critical_account,real_estate,26,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
3,less_than0,critical_account,real_estate,27,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
4,less_than0,critical_account,real_estate,28,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
5,less_than0,critical_account,real_estate,30,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
6,less_than0,critical_account,real_estate,33,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
7,less_than0,critical_account,real_estate,36,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
8,less_than0,critical_account,real_estate,39,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
9,less_than0,critical_account,real_estate,40,3378,unemployed,unemployed/unskilled-non_resident,1,1,1,1,0,0,1,1
10,less_than0,critical_account,real_estate,22,3380,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
11,less_than0,critical_account,real_estate,22,3386,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
12,less_than0,critical_account,real_estate,22,3394,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
13,less_than0,critical_account,real_estate,22,3398,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
14,less_than0,critical_account,real_estate,22,3399,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
15,less_than0,critical_account,real_estate,22,3422,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
16,less_than0,critical_account,real_estate,22,3430,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
17,less_than0,critical_account,real_estate,22,3441,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
18,less_than0,critical_account,real_estate,22,3446,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
19,less_than0,critical_account,real_estate,22,3447,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
20,less_than0,critical_account,real_estate,24,3380,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
21,less_than0,critical_account,real_estate,24,3386,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
22,less_than0,critical_account,real_estate,24,3394,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
23,less_than0,critical_account,real_estate,24,3398,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
24,less_than0,critical_account,real_estate,24,3399,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
25,less_than0,critical_account,real_estate,24,3422,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
26,less_than0,critical_account,real_estate,24,3430,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
27,less_than0,critical_account,real_estate,24,3441,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
28,less_than0,critical_account,real_estate,24,3446,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
29,less_than0,critical_account,real_estate,24,3447,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
30,less_than0,critical_account,real_estate,26,3380,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
31,less_than0,critical_account,real_estate,26,3386,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
32,less_than0,critical_account,real_estate,26,3394,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
33,less_than0,critical_account,real_estate,26,3398,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
34,less_than0,critical_account,real_estate,26,3399,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
35,less_than0,critical_account,real_estate,26,3422,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
36,less_than0,critical_account,real_estate,26,3430,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
37,less_than0,critical_account,real_estate,26,3441,unemployed,unemployed/unskilled-non_resident,1,1,1,1,1,0,1,2
