,Checking_account_status,Credit_history,Property,Duration_months,Credit_amount,Present_employment_since,Job,Age_years,Other_debtors,Unnamed: 0,Other_installment_plans,Telephone,Foreign_worker,Installment_rate,Savings_account_or_bonds,Number_existing_credits,Housing,Purpose,Present_residence_since,Personal_status,Number_people_liable,L0,L1,L2
42094,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,40,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.838146685530024,2.525625316139552
5303,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,426,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.0283714973472815,2.014335606733965
5302,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,428,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.027674768690542,2.013979997468485
24051,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,250,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.089683619140344,2.04631629759986
24050,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,338,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.0590275582438125,2.030157473970887
24049,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,339,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.058679193915443,2.0299757721779472
24048,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,343,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.057285736601965,2.029249400350277
24047,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,362,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.05066681436294,2.02580866687937
24046,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,368,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.0485766283927225,2.0247254000509427
24045,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,385,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.042654434810438,2.0216647275030235
5304,less_than0,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,409,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.034293690929566,2.0173654698880674
24044,0equalsless_than_and_less_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,18,409,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.034293690929566,2.0173654698880674
42085,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,22,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.334208488278186,1.7639998054527077
42086,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,24,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.5013127324172792,1.803140165290452
42087,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,26,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.6684169765563723,1.856550902762637
42088,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,27,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.751969098625919,1.888241913868103
42089,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,28,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,3.8355212206954654,1.9230433459057652
42090,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,30,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.0026254648345585,2.0013140240188982
42091,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,33,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.253281831043198,2.1379231389418543
42092,greater_than200,existing_dues_cleared_for_now,building_society/savings_agreement/life_insurance,36,3378,unemployed,unemployed/unskilled-non_resident,22,none,0,none,no,no,2,less_than100,1,own,radio/television,2,female-divorced/separated/married,1,4,4.503938197251838,2.2938679345492203
